Taxonomy_a,Taxonomy_b,cat_a,cat_b,dep,dep_count,prod,dep_avg
Arts / Museum,Arts / Museum,Art Dealers,Museums,0.0331027373859403,5,5476,0.060450579594485576
Arts / Museum,Arts / Museum,Art Dealers,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.0970539340510509,8,5476,0.1772350877484494
Arts / Museum,Arts / Museum,Museums,Art Dealers,0.2252369509857978,5,5476,0.41131656498502156
Arts / Museum,Arts / Museum,Museums,Museums,0.2866833248675661,8,5476,0.5235268898238972
Arts / Museum,Arts / Museum,Museums,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.0905624614520303,7,5476,0.16538068197960246
Arts / Museum,Arts / Museum,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Art Dealers,0.0327730799632777,8,5476,0.05984857553556921
Arts / Museum,Arts / Museum,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Museums,0.023079180914634102,7,5476,0.04214605718523393
Arts / Museum,Arts / Museum,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Promoters of Performing Arts, Sports, and Similar Events with Facilities",0.1043718307189862,26,5476,0.1905986682231304
Arts / Museum,City / Outdoors,Art Dealers,City Hall,0.0252075289585875,3,20128,0.012523613353829245
Arts / Museum,City / Outdoors,Art Dealers,Libraries and Archives,0.17758819151971322,10,20128,0.08822942742434084
Arts / Museum,City / Outdoors,Art Dealers,Nature Parks and Other Similar Institutions,0.2113333420907912,19,20128,0.10499470493381916
Arts / Museum,City / Outdoors,Art Dealers,Postal Service,0.0187900390983037,4,20128,0.009335273796851997
Arts / Museum,City / Outdoors,Museums,City Hall,0.0242168013072135,2,20128,0.012031399695555198
Arts / Museum,City / Outdoors,Museums,Libraries and Archives,0.0571105200657751,3,20128,0.028373668554141047
Arts / Museum,City / Outdoors,Museums,Nature Parks and Other Similar Institutions,0.2727862258817638,7,20128,0.1355257481527046
Arts / Museum,City / Outdoors,Museums,Postal Service,0.16044354871496688,4,20128,0.07971161998955033
Arts / Museum,City / Outdoors,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",City Hall,0.0486069054775198,10,20128,0.024148899780166835
Arts / Museum,City / Outdoors,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Libraries and Archives,0.1546115269943323,28,20128,0.07681415291848784
Arts / Museum,City / Outdoors,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Nature Parks and Other Similar Institutions,0.2649526821760071,53,20128,0.13163388422893835
Arts / Museum,City / Outdoors,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Postal Service,0.0173265612785885,8,20128,0.008608188234592857
