id,poilon,poilat,Taxonomy,cat
5,-1.0490980000000008,1.5396140000000003,City / Outdoors,Nature Parks and Other Similar Institutions
8,-1.123863,1.6794030000000006,Service,Offices of Real Estate Agents and Brokers
9,-1.1333379999999948,1.6493680000000026,Food,Full-Service Restaurants
26,-1.1049000000000007,1.8159330000000011,Service,Commercial Banking
28,-1.139758999999998,1.6547849999999968,Service,Commercial Banking
32,-1.3182180000000017,1.7248829999999984,Service,Commercial Banking
34,-1.0992310000000032,1.5166299999999993,Health,Offices of Dentists
37,-1.0184339999999992,1.7359670000000023,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
38,-1.2621529999999979,1.8472709999999992,Sports,Fitness and Recreational Sports Centers
41,-1.1104100000000017,1.7449939999999984,City / Outdoors,Postal Service
47,-1.0500710000000026,1.539479,Service,Commercial Banking
64,-1.1150140000000022,1.5063460000000006,City / Outdoors,Nature Parks and Other Similar Institutions
69,-1.203604999999996,1.856228999999999,City / Outdoors,Nature Parks and Other Similar Institutions
75,-1.233737000000005,1.7897340000000028,Sports,Fitness and Recreational Sports Centers
81,-1.0563340000000068,1.5729040000000012,City / Outdoors,Nature Parks and Other Similar Institutions
93,-1.067582999999999,1.8684390000000022,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
97,-1.2934249999999992,1.6764670000000024,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
103,-1.1244370000000004,1.7019499999999965,Sports,Fitness and Recreational Sports Centers
104,-1.3141899999999964,1.6419849999999983,Service,Offices of Real Estate Agents and Brokers
108,-1.109527,1.7448150000000027,Service,Commercial Banking
110,-1.2189580000000007,1.6775209999999987,City / Outdoors,Nature Parks and Other Similar Institutions
143,-1.4582999999999942,1.9737330000000028,Food,Full-Service Restaurants
151,-1.1601260000000053,1.6916650000000004,Arts / Museum,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
152,-1.321912999999995,1.627488999999997,Food,Full-Service Restaurants
180,-1.0896089999999958,1.797378000000002,Service,Offices of Real Estate Agents and Brokers
186,-1.2604460000000017,1.6203160000000025,Health,Offices of Dentists
207,-1.1033369999999962,1.5224449999999976,Food,Full-Service Restaurants
220,-1.0599849999999975,1.5017500000000013,Service,Offices of Real Estate Agents and Brokers
229,-1.3835360000000065,1.639749000000002,Food,Full-Service Restaurants
232,-1.302700999999999,1.9039000000000001,City / Outdoors,Nature Parks and Other Similar Institutions
252,-1.0587730000000022,1.9474829999999983,City / Outdoors,Libraries and Archives
259,-1.1260189999999994,1.7840679999999978,Service,Offices of Real Estate Agents and Brokers
262,-1.070498999999998,1.5031749999999988,Food,Full-Service Restaurants
270,-1.1571909999999974,1.8736749999999986,Service,Commercial Banking
272,-1.0865830000000045,1.7867740000000012,City / Outdoors,Nature Parks and Other Similar Institutions
288,-1.1264879999999948,1.6730360000000033,Service,Commercial Banking
290,-1.245047999999997,1.7742130000000031,Service,Hotels (except Casino Hotels) and Motels
294,-1.0930390000000045,1.8291850000000025,Health,Offices of Dentists
295,-1.1409629999999993,1.7261009999999999,Service,Offices of Real Estate Agents and Brokers
300,-1.0581920000000054,1.9645709999999994,City / Outdoors,Nature Parks and Other Similar Institutions
305,-1.3177869999999956,1.6224559999999997,Service,Commercial Banking
308,-1.1356179999999938,1.5082450000000023,Service,Veterinary Services
312,-1.1583920000000063,1.6276080000000022,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
325,-1.205883,1.7520489999999995,Service,Commercial Banking
327,-1.3427060000000068,1.6791120000000035,Food,Full-Service Restaurants
329,-1.3081320000000005,1.6448329999999984,Service,Commercial Banking
334,-1.4657590000000056,1.532307000000003,Entertainment,Amusement and Theme Parks
342,-1.388417000000004,1.5818450000000013,Service,Passenger Car Rental
345,-1.2768549999999976,1.5714789999999965,Service,Commercial Banking
348,-1.2323260000000005,1.5341689999999986,Food,Full-Service Restaurants
370,-1.2449799999999982,1.7743579999999994,Food,Full-Service Restaurants
371,-1.3182230000000033,1.6473360000000028,Food,Drinking Places (Alcoholic Beverages)
374,-1.0843500000000006,1.7733440000000016,Food,Drinking Places (Alcoholic Beverages)
378,-1.3491130000000027,1.8658319999999975,Food,Full-Service Restaurants
379,-1.4180080000000004,1.5457510000000028,City / Outdoors,Nature Parks and Other Similar Institutions
384,-1.1456989999999934,1.674582000000001,Food,Full-Service Restaurants
393,-1.3549330000000026,1.596314999999997,Food,Full-Service Restaurants
394,-1.2730499999999978,1.5669680000000028,Health,Offices of Dentists
403,-1.083233000000007,1.7737260000000035,Food,Full-Service Restaurants
417,-1.104371999999998,1.5641000000000034,City / Outdoors,Nature Parks and Other Similar Institutions
429,-1.1033950000000061,1.8204569999999975,Service,Commercial Banking
430,-1.2322709999999972,1.7724860000000007,Food,Full-Service Restaurants
445,-1.4351609999999937,1.5593450000000004,Service,Commercial Banking
446,-1.1846129999999988,1.792703000000003,Service,Commercial Banking
